ok  	orquesta	0.068s
ok  	orquesta/acceptance	0.026s
ok  	orquesta/internal/credentials	0.003s
ok  	orquesta/internal/adapters/credentials/local	0.047s
ok  	orquesta/internal/adapters/agent/codex	0.389s
ok  	orquesta/internal/config	0.234s
ok  	orquesta/internal/goal	0.005s
ok  	orquesta/internal/bootstrap	0.615s
ok  	orquesta/cmd/orquesta	0.004s
